Feature;Direction
ENSG00000277042_at;-1
ENSG00000168959_at;-1
ENSG00000138835_at;-1
ENSG00000112237_at;-1
ENSG00000129003_at;-1
ENSG00000161082_at;-1
ENSG00000077498_at;-1
ENSG00000102003_at;-1
ENSG00000143575_at;-1
ENSG00000134533_at;-1
ENSG00000125966_at;-1
ENSG00000118137_at;-1
ENSG00000133740_at;-1
ENSG00000173320_at;-1
ENSG00000226788_at;-1
ENSG00000108511_at;-1
ENSG00000184792_at;-1
ENSG00000144115_at;-1
ENSG00000118217_at;-1
ENSG00000157657_at;-1
ENSG00000078269_at;-1
ENSG00000120328_at;-1
ENSG00000138802_at;-1
ENSG00000225921_at;-1
ENSG00000148468_at;-1
ENSG00000145864_at;-1
ENSG00000138834_at;-1
ENSG00000109654_at;-1
ENSG00000103994_at;-1
ENSG00000141744_at;-1
ENSG00000172995_at;-1
ENSG00000138382_at;-1
ENSG00000004897_at;-1
ENSG00000170423_at;-1
ENSG00000132313_at;-1
ENSG00000104765_at;-1
ENSG00000108406_at;-1
ENSG00000123094_at;-1
ENSG00000140398_at;-1
ENSG00000277399_at;-1
ENSG00000184470_at;-1
ENSG00000166900_at;-1
ENSG00000206287_at;-1
ENSG00000079156_at;-1
ENSG00000166862_at;-1
ENSG00000164066_at;-1
ENSG00000166206_at;-1
ENSG00000171914_at;-1
ENSG00000162068_at;-1
ENSG00000275023_at;-1
ENSG00000134897_at;-1
ENSG00000176055_at;-1
ENSG00000182168_at;-1
ENSG00000169105_at;-1
ENSG00000170776_at;-1
ENSG00000023516_at;-1
ENSG00000130810_at;-1
ENSG00000175782_at;-1
ENSG00000169490_at;-1
ENSG00000175595_at;-1
ENSG00000276469_at;-1
ENSG00000138942_at;-1
ENSG00000162757_at;-1
ENSG00000132879_at;-1
ENSG00000213563_at;-1
ENSG00000155189_at;-1
ENSG00000242247_at;-1
ENSG00000121690_at;-1
ENSG00000139793_at;-1
ENSG00000185483_at;-1
ENSG00000281484_at;-1
ENSG00000066583_at;-1
ENSG00000169851_at;-1
ENSG00000013563_at;-1
ENSG00000102125_at;-1
ENSG00000224740_at;-1
ENSG00000129493_at;-1
ENSG00000180061_at;-1
ENSG00000111727_at;-1
ENSG00000102312_at;-1
ENSG00000144406_at;-1
ENSG00000197879_at;-1
ENSG00000282825_at;-1
ENSG00000284980_at;-1
ENSG00000285250_at;-1
ENSG00000283022_at;-1
ENSG00000285496_at;-1
ENSG00000172023_at;1
ENSG00000197563_at;1
ENSG00000185798_at;1
ENSG00000163053_at;1
ENSG00000069275_at;1
ENSG00000128050_at;1
ENSG00000108592_at;1
ENSG00000175216_at;1
ENSG00000077514_at;1
ENSG00000144229_at;1
ENSG00000047597_at;1
ENSG00000169035_at;1
ENSG00000165195_at;1
ENSG00000231617_at;1
ENSG00000172940_at;1
ENSG00000137145_at;1
ENSG00000084093_at;1
ENSG00000177483_at;1
ENSG00000111335_at;1
ENSG00000089127_at;1
ENSG00000135932_at;1
ENSG00000137876_at;1
ENSG00000164307_at;1
ENSG00000166888_at;1
ENSG00000165244_at;1
ENSG00000164941_at;1
ENSG00000165934_at;1
ENSG00000140839_at;1
ENSG00000141574_at;1
ENSG00000114391_at;1
ENSG00000153187_at;1
ENSG00000232119_at;1
ENSG00000170044_at;1
ENSG00000147256_at;1
ENSG00000163444_at;1
ENSG00000147475_at;1
ENSG00000104626_at;1
ENSG00000196678_at;1
ENSG00000166743_at;1
ENSG00000096401_at;1
ENSG00000167005_at;1
ENSG00000166669_at;1
ENSG00000109586_at;1
ENSG00000087502_at;1
ENSG00000103415_at;1
ENSG00000132518_at;1
ENSG00000172845_at;1
ENSG00000095002_at;1
ENSG00000103642_at;1
ENSG00000164258_at;1
ENSG00000277424_at;1
ENSG00000135837_at;1
ENSG00000163515_at;1
ENSG00000185721_at;1
ENSG00000146066_at;1
ENSG00000111832_at;1
ENSG00000196363_at;1
ENSG00000183617_at;1
ENSG00000142528_at;1
ENSG00000156097_at;1
ENSG00000000005_at;1
ENSG00000155561_at;1
ENSG00000206279_at;1
ENSG00000178904_at;1
ENSG00000145241_at;1
ENSG00000138757_at;1
ENSG00000102383_at;1
ENSG00000055917_at;1
ENSG00000198920_at;1
ENSG00000143184_at;1
ENSG00000101447_at;1
ENSG00000108389_at;1
ENSG00000035681_at;1
ENSG00000139618_at;1
ENSG00000138496_at;1
ENSG00000175874_at;1
