Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7cov_rescinnamine,-14.3,0.0,0.0
6lu7cov_rescinnamine,-14.3,5.197,2.853
6lu7cov_rescinnamine,-14.1,8.62,2.953
6lu7cov_rescinnamine,-14.0,8.807,2.8
6lu7cov_rescinnamine,-13.6,32.186,31.024
6lu7cov_rescinnamine,-13.4,28.397,25.721
6lu7cov_rescinnamine,-13.1,34.441,31.678
6lu7cov_rescinnamine,-13.1,33.23,31.694
6lu7cov_rescinnamine,-13.1,18.4,17.356
